PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00gSv,r2qk2r/1p5p/p2b1p2/3p1Q2/3Bn3/P3P2P/2P2PP1/RN2K1NR w KQkq - 1 16,f5d5 d6b4 a3b4 d8d5,1104,83,79,92,advantage discoveredAttack middlegame short,https://lichess.org/TKSc9fWZ#30,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
00gcY,3r2k1/5ppp/b3p3/3q4/3r4/p2PQP1P/3R1NPK/R7 w - - 0 35,a1a3 d5d6 h2h1 d6a3,1469,77,68,66,crushing fork middlegame short,https://lichess.org/m6ztJedJ#68,
00ggZ,2r2r1k/1pP3pp/p3b3/P7/1P5Q/4q1P1/6PK/RB6 b - - 4 37,c8c7 h4h7,727,85,86,84,mate mateIn1 middlegame oneMove,https://lichess.org/gCG08rHD/black#73,
00ghH,5r1k/6p1/1Q2pq1p/P4r2/3P4/2P1R3/6PP/4R1K1 w - - 1 39,d4d5 f5f1 e1f1 f6f1,685,84,100,468,endgame mate mateIn2 short,https://lichess.org/ycQ7nVZM#76,
00gpa,r1b2rk1/qp3pp1/p3p2p/8/8/P5P1/1PBB2P1/2RQ3K b - - 0 21,f8d8 d2e3 d8d1 c1d1 g8f8 e3a7 a8a7 d1d8 f8e7 d8c8,2300,77,90,257,advantage fork middlegame sacrifice veryLong,https://lichess.org/tgE8FK8D/black#41,
00gsT,1r3rk1/p4pp1/4p2p/1Q2Pn2/1b1P4/4BN2/q4PPP/2R2RK1 w - - 1 19,c1a1 a2a1 f1a1 b8b5,1417,74,91,4945,crushing middlegame short,https://lichess.org/Uwrjbb82#36,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
00gtb,3q2k1/1Q3p1p/1p4p1/pP1pP3/P1r5/7P/6P1/3R2K1 w - - 0 31,d1d5 c4c1 g1h2 d8g5 b7b8 g8g7 e5e6 g5d5,1469,197,-100,8,crushing endgame veryLong,https://lichess.org/EYvcgkvd#60,
00gyK,5rk1/5pp1/3p3p/4p1N1/8/PR6/1p3PPP/6K1 w - - 0 33,g5e4 f8c8 g2g3 c8c1,1615,74,95,2599,crushing endgame quietMove short,https://lichess.org/LK8qER3u#64,
00h5T,1r2r1k1/3p1pb1/p2q2pp/1p3P2/3p4/P6Q/BPP3PP/4RRK1 b - - 0 23,g6g5 e1e8 b8e8 f5f6,1810,77,77,76,crushing kingsideAttack master middlegame short,https://lichess.org/EzIYa6oA/black#45,
00h7S,8/p1N3pp/5k2/2PB2b1/1P4b1/P6r/6K1/4R3 b - - 0 31,h3d3 c7e8 f6g6 d5e4,1721,96,83,21,crushing endgame short,https://lichess.org/3HiYfIf1/black#61,
